document_id,document_name,entities
b3f1f1f1-6a1c-47b5-8ddf-f92444f115ac,20071229X02007.pdf,"{""aircraft_make"":""Piper PA-22-150"",""accident_number"":""NYC08CA055"",""aircraft_damage"":""Substantial"",""city"":""Tallahassee"",""state"":""FL"",""country"":""USA"",""phase_of_operation"":""APPROACH"",""pilot_flight_hours"":""2319"",""engine_manufacturer"":""Lycoming""}"
b1d8c599-285d-4e1d-8676-2a3ef5122b88,20071231X02009.pdf,"{""city"": ""Death Valley"", ""state"": ""CA"", ""accident_number"": ""SEA08CA049"", ""aircraft_make"": ""Beech A23"", ""aircraft_damage"": ""Substantial"", ""country"": ""USA"", ""phase_of_operation"": ""LANDING - FLARE/TOUCHDOWN"", ""pilot_flight_hours"": ""119 hours"", ""engine_manufacturer"": ""Continental""}"
c8c79663-7988-49ed-b706-0b78f7d59d29,20080102X00002.pdf,"{""aircraft_make"":""Reims F172 M"",""accident_number"":""DEN08WA042"",""aircraft_damage"":""Destroyed"",""city"":""Chevroux"",""state"":"""",""country"":""France"",""phase_of_operation"":"""",""pilot_flight_hours"":"""",""engine_manufacturer"":""Lycoming""}"
f5d4b92f-4977-48b3-9e6d-bea05a490218,20080102X00005.pdf,"{""city"": ""Belen"", ""state"": ""NM"", ""accident_number"": ""DEN08CA034"", ""date_time"": ""11/27/2007, 1100 MST"", ""aircraft_registration"": ""N74SR"", ""aircraft_make"": ""Godwin, David P Sorrell SNJ-7"", ""aircraft_damage"": ""Substantial"", ""phase_of_operation"": ""LANDING - ROLL"", ""pilot_flight_hours"": ""1364 hours"", ""engine_manufacturer"": ""Lycoming""}"
c4696403-6be5-4cca-a831-0fd30456148d,20080117X00064.pdf,"{""aircraft_make"":""Bombardier, Inc. BD-700-1A11"", ""accident_number"":""NYC08WA076"", ""aircraft_damage"":""Substantial"", ""city"":""Charlestown"", ""state"":""St Kitts And Nevis"", ""country"":"""", ""phase_of_operation"":""landing"", ""pilot_flight_hours"":"""", ""engine_manufacturer"":""""}"
ca219ddc-2463-4aa0-8dee-ea02d9b37f09,20080117X00072.pdf,"{""city"": ""Fullerton"", ""state"": ""CA"", ""accident_number"": ""SEA08CA052"", ""aircraft_damage"": ""Substantial"", ""aircraft_make"": ""Cessna"", ""country"": ""USA"", ""phase_of_operation"": ""TAXI - FROM LANDING"", ""pilot_flight_hours"": ""102 hours"", ""engine_manufacturer"": ""Lycoming""}"
db1481aa-0ddf-4541-affb-f4ca5292b09b,20080122X00080.pdf,"{""aircraft_make"":""Piper PA-28-140"",""accident_number"":""NYC08CA040"",""aircraft_damage"":""Substantial"",""city"":""Murfreesboro"",""state"":""TN"",""country"":""USA"",""phase_of_operation"":""LANDING"",""pilot_flight_hours"":""435"",""engine_manufacturer"":""Lycoming""}"
c6bc5a9a-d3e8-49be-808e-204470b6bd56,20080123X00097.pdf,"{""aircraft_make"":""Piper PA-31T"",""accident_number"":""NYC08CA073"",""aircraft_damage"":""Substantial"",""city"":""Muscle Shoals"",""state"":""AL"",""country"":""USA"",""phase_of_operation"":""LANDING - FLARE/TOUCHDOWN"",""pilot_flight_hours"":""10127"",""engine_manufacturer"":""Pratt & Whitney Canada""}"
97506948-30f5-4e23-90f3-3c2b7a4f599a,20080124X00100.pdf,"{""city"": ""White Plains"", ""state"": ""AL"", ""accident_number"": ""NYC08CA058"", ""aircraft_damage"": ""Substantial"", ""aircraft_make"": ""Fisher Aero Celebrity"", ""country"": ""United States"", ""phase_of_operation"": ""CRUISE"", ""pilot_flight_hours"": ""11423"", ""engine_manufacturer"": ""Continental""}"
32a0ea99-1dee-48f0-b80c-90df3a187080,20080124X00101.pdf,"{""aircraft_make"":""Cessna 170B"",""accident_number"":""NYC08CA068"",""aircraft_damage"":""Substantial"",""city"":""Alton"", ""state"":""NH"", ""country"":""USA"", ""phase_of_operation"":""MANEUVERING"", ""pilot_flight_hours"":""1700"", ""engine_manufacturer"":""Continental""}"
