"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"ERA24LA287","ACC","194587","2024-06-27T15:34:00Z","Sanford","Florida","United States","","N174SC","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The helicopter pilot’s improper maneuvering at low altitude in gusty wind conditions, which resulted in the helicopter entering a vortex ring state, and hard landing during a subsequent autorotation.","","28.777642","-81.231234","AIRBUS HELICOPTERS","AS350","HELI","SFB","Orlando Sanford International Airport","FALSE","1","","PUBU","PUBU","Substantial","VMC","SEMINOLE COUNTY SHERIFFS OFFICE","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194587","7/25/2024 5:00:00 PM",
"ERA24LA273","ACC","194534","2024-06-23T11:00:00Z","Laurens","South Carolina","United States","","N60DF","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","An in-flight collision with a bird while in cruise flight.","","34.418833","-82.023167","CONSTRUZIONI AERONAUTICHE TECN","P2004 BRAVO","AIR","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194534","7/25/2024 5:00:00 PM",
"CEN24LA237","ACC","194531","2024-06-22T10:10:00Z","Schriever","Louisiana","United States","","N77143","FALSE","DirectorBrief","2024-08-01T04:00:00Z","None","0","0","0","The pilot’s inadvertent application of the toe brakes during the takeoff roll.","","29.747609","-90.833193","CESSNA","140","AIR","L83","THIBODAUX MUNI","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194531","8/1/2024 5:00:00 PM",
"CEN24LA231","ACC","194507","2024-06-19T10:30:00Z","East Troy","Wisconsin","United States","","N355VT","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing in gusting crosswind conditions.","","42.798149","-88.367736","FOSKETT JAMES J","CH 750 CRUISER","AIR","57C","EAST TROY MUNI","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194507","7/25/2024 5:00:00 PM",
"CEN24LA224","ACC","194481","2024-06-16T15:30:00Z","Elbert","Colorado","United States","","N37JG","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the landing with a right crosswind.","","39.223726","-104.63974","JONKER SAILPLANES (PTY) LTD","JS3 RES","GLI","CO15","KELLY AIR PARK","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194481","7/25/2024 5:00:00 PM",
"CEN24LA225","ACC","194482","2024-06-15T12:25:00Z","Schell City","Missouri","United States","","N82SC","FALSE","DirectorBrief","2024-08-01T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing that resulted in a ground loop and impact with the runway surface.","","38","-94","ROBERT L STATON","JAVRON INC PA-18 REP","AIR","IXD","New Century AirCenter Airport","TRUE","1","NSCH","BUS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194482","8/1/2024 5:00:00 PM",
"ERA24LA268","ACC","194506","2024-06-12T23:00:00Z","Painted Post","New York","United States","","N5309G","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane during an aborted landing, which resulted in runway excursion and collision with a ditch.","","42.179597","-77.121074","CESSNA","305","AIR","7N1","Corning-Painted Post Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194506","7/25/2024 5:00:00 PM",
"ERA24LA259","ACC","194464","2024-06-12T09:35:00Z","Selma","Alabama","United States","","N62LP","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","The pilot receiving instruction’s improper landing flare which resulted in a hard landing and subsequent landing gear collapse.","","32.343947","-86.987806","PIPER","PA-32R-300","AIR","SEM","Craig Field Airport","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194464","7/18/2024 5:00:00 PM",
"CEN24LA214","ACC","194420","2024-06-09T16:35:00Z","Slaton","Texas","United States","","N88026","FALSE","DirectorBrief","2024-07-25T04:00:00Z","Minor","0","0","2","The pilot’s failure to maintain directional control after landing in gusting wind conditions which resulted in a runway excursion and the airplane nosing over. Contributing was the pilot’s decision to conduct the flight in very strong, gusting wind conditions.","","33.484508","-101.66094","STINSON","VULTEE V-77","AIR","F49","CITY OF SLATON/LARRY T NEAL MEML","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194420","7/25/2024 5:00:00 PM",
"ERA24LA252","ACC","194428","2024-06-08T10:57:00Z","Telford","Tennessee","United States","","N3304R","FALSE","DirectorBrief","2024-07-18T04:00:00Z","Serious","0","2","0","The pilot’s failure to maintain control of the airplane while performing a go-around, which resulted in an inflight collision with trees.","","36.274896","-82.585026","CESSNA","182","AIR","97TN","KITE FLD","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194428","7/18/2024 5:00:00 PM",
